15:50:59	07/29/2016	Friday
16:43:05	07/29/2016	Friday
17:30:39	07/29/2016	Friday
14:17:36	08/01/2016	Monday
16:24:11	08/01/2016	Monday
14:12:14	08/02/2016	Tuesday
15:13:53	08/02/2016	Tuesday
16:16:09	08/02/2016	Tuesday
17:02:48	08/02/2016	Tuesday
09:10:36	08/03/2016	Wednesday
09:57:27	08/03/2016	Wednesday
11:20:37	08/03/2016	Wednesday
14:22:42	08/03/2016	Wednesday
15:25:00	08/03/2016	Wednesday
16:11:36	08/03/2016	Wednesday
16:58:43	08/03/2016	Wednesday
08:45:35	08/04/2016	Thursday
09:33:59	08/04/2016	Thursday
10:32:31	08/04/2016	Thursday
14:03:55	08/04/2016	Thursday
14:52:43	08/04/2016	Thursday
18:54:00	08/04/2016	Thursday
14:06:21	08/05/2016	Friday
15:48:41	08/05/2016	Friday
16:33:12	08/05/2016	Friday
17:34:50	08/05/2016	Friday
13:17:03	08/07/2016	Sunday
09:05:54	08/08/2016	Monday
10:23:38	08/08/2016	Monday
11:10:42	08/08/2016	Monday
12:02:23	08/08/2016	Monday
13:28:54	08/08/2016	Monday
14:22:52	08/08/2016	Monday
15:12:58	08/08/2016	Monday
16:17:56	08/08/2016	Monday
17:04:57	08/08/2016	Monday
11:14:43	08/09/2016	Tuesday
12:39:10	08/09/2016	Tuesday
13:50:22	08/09/2016	Tuesday
14:43:18	08/09/2016	Tuesday
15:30:37	08/09/2016	Tuesday
16:20:00	08/09/2016	Tuesday
17:12:30	08/09/2016	Tuesday
17:59:50	08/09/2016	Tuesday
11:07:06	08/10/2016	Wednesday
12:17:22	08/10/2016	Wednesday
13:03:39	08/10/2016	Wednesday
15:29:32	08/10/2016	Wednesday
16:19:04	08/10/2016	Wednesday
10:50:13	08/11/2016	Thursday
14:44:16	08/11/2016	Thursday
16:56:06	08/11/2016	Thursday
14:41:42	08/12/2016	Friday
15:28:11	08/12/2016	Friday
09:26:46	08/15/2016	Monday
10:43:09	08/15/2016	Monday
13:29:28	08/15/2016	Monday
14:16:00	08/15/2016	Monday
15:23:02	08/15/2016	Monday
16:09:29	08/15/2016	Monday
16:56:52	08/15/2016	Monday
14:37:49	08/16/2016	Tuesday
16:40:05	08/16/2016	Tuesday
10:39:43	08/17/2016	Wednesday
14:21:57	08/17/2016	Wednesday
17:10:30	08/17/2016	Wednesday
09:20:06	08/18/2016	Thursday
10:09:52	08/18/2016	Thursday
12:08:37	08/18/2016	Thursday
14:35:27	08/18/2016	Thursday
15:26:38	08/18/2016	Thursday
14:50:04	08/19/2016	Friday
15:42:59	08/19/2016	Friday
10:04:14	08/22/2016	Monday
12:16:06	08/22/2016	Monday
13:59:12	08/22/2016	Monday
14:45:56	08/22/2016	Monday
15:39:44	08/22/2016	Monday
16:28:22	08/22/2016	Monday
17:16:43	08/22/2016	Monday
09:27:20	08/23/2016	Tuesday
11:40:55	08/23/2016	Tuesday
13:52:38	08/23/2016	Tuesday
14:45:53	08/23/2016	Tuesday
15:33:08	08/23/2016	Tuesday
